A,B,C,D,E,F,Apop,Cpop,Total users,Temperature,Conditions,Time index
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,2.0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,2.0,17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,24
0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.6,18.0,2.0,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,26
0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,1.0,18.0,2.0,27
0.2,1.0,0.4,0.0,1.4,0.0,0.0,0.0,3.0,18.0,2.0,28
1.0,1.4,0.8,0.2,1.0,0.0,0.0,0.0,4.4,18.0,1.4,29
1.2,1.2,0.4,0.2,0.4,0.2,0.0,0.0,3.6,18.0,1.0,30
3.0,1.0,0.0,0.0,0.0,0.4,0.0,0.0,4.4,18.6,1.6,31
4.0,0.2,0.4,0.4,0.6,1.0,0.0,0.0,6.6,19.0,2.0,32
6.2,0.8,0.0,0.2,2.2,1.0,0.0,0.0,10.4,19.0,2.0,33
5.0,0.6,0.0,0.8,1.6,0.6,0.0,0.0,8.6,19.0,2.0,34
4.4,0.2,0.2,0.8,0.6,0.8,0.0,0.0,7.0,19.0,2.0,35
5.2,1.0,0.2,1.0,0.4,0.8,0.0,0.0,8.6,19.0,2.0,36
5.4,0.2,0.2,0.2,0.4,1.0,0.0,0.0,7.4,19.0,2.0,37
6.0,0.4,0.4,1.0,0.4,2.0,0.0,0.0,10.2,19.0,2.0,38
5.0,0.8,0.6,0.2,1.0,2.8,0.0,0.0,10.4,19.0,2.0,39
4.0,1.4,1.0,0.6,0.8,2.2,0.0,0.0,10.0,19.0,2.0,40
2.6,2.2,1.0,1.4,0.2,1.2,0.0,0.0,8.6,19.0,2.0,41
2.8,2.2,1.0,0.8,1.2,1.8,0.0,0.0,9.8,19.0,2.0,42
2.8,1.8,1.4,1.8,0.6,3.6,0.0,0.0,12.0,19.6,1.4,43
4.4,1.8,1.8,3.4,0.2,1.6,0.0,0.0,13.2,20.0,1.0,44
2.4,3.0,2.4,1.2,0.4,1.4,0.0,0.0,10.8,20.6,1.0,45
0.6,3.8,2.0,2.4,0.2,1.6,0.0,0.0,10.6,21.0,1.0,46
0.2,1.4,1.6,0.4,0.0,4.2,0.0,0.0,7.8,21.0,1.0,47
0.0,2.4,2.6,0.8,0.4,2.0,0.0,0.0,8.2,21.0,1.0,48
0.6,2.4,2.2,0.4,1.8,3.4,0.0,0.0,10.8,21.0,1.0,49
0.4,3.2,2.0,0.6,0.2,3.0,0.0,0.0,9.4,21.0,1.0,50
1.2,2.2,2.2,0.4,0.0,1.6,0.0,0.0,7.6,21.6,1.0,51
2.2,3.6,4.8,0.8,0.2,3.6,0.0,0.0,15.2,22.0,1.0,52
4.0,2.8,1.6,1.2,1.6,3.6,0.0,0.0,14.8,22.0,1.0,53
4.0,2.6,3.8,1.0,1.2,5.2,0.0,0.0,17.8,22.0,1.0,54
7.6,4.0,2.2,2.2,1.0,4.4,0.0,0.0,21.4,21.4,1.6,55
4.6,3.4,4.0,1.2,2.0,4.4,0.0,0.0,19.6,21.0,2.0,56
4.8,3.4,3.2,1.6,1.6,5.0,0.0,0.0,19.6,21.6,2.0,57
7.4,4.2,2.0,1.8,0.8,4.0,0.0,0.0,20.2,22.0,2.0,58
5.8,3.0,2.6,1.4,1.2,3.8,0.09061526458646879,0.0,17.8,22.6,2.0,59
6.6,2.0,2.2,1.2,0.2,5.0,0.45307632293234396,0.0,17.2,23.0,2.0,60
4.0,2.0,2.8,0.8,0.8,5.4,0.45307632293234396,0.0,15.8,23.0,2.0,61
5.4,3.2,6.2,0.6,1.2,3.4,0.45307632293234396,0.0,20.0,23.0,2.0,62
5.0,2.0,6.6,0.8,1.6,5.8,0.45307632293234396,0.0,21.8,22.4,2.0,63
6.2,3.0,5.4,0.8,1.8,6.2,0.45307632293234396,0.0,23.4,22.0,2.0,64
6.0,2.4,4.0,1.6,0.8,6.6,0.47720102438828294,0.11401322250379023,21.4,22.6,2.0,65
6.8,2.8,4.0,1.4,3.0,11.8,0.4832321997522676,0.5700661125189511,29.8,23.0,2.0,66
9.6,2.8,2.6,1.8,1.8,5.4,0.4832321997522676,0.5700661125189511,24.0,23.0,2.0,67
8.2,1.4,2.0,2.0,2.0,1.2,0.4832321997522676,0.5700661125189511,16.8,23.0,2.0,68
8.6,0.4,0.6,3.0,1.6,2.6,0.4832321997522676,0.5700661125189511,16.8,23.0,2.0,69
6.4,1.2,0.4,3.4,2.2,3.0,0.548000496413941,0.5700661125189511,16.6,23.0,2.0,70
4.2,0.6,0.4,4.2,1.0,1.4,0.8070736830606344,0.5776669940192038,11.8,22.4,2.0,71
6.4,2.0,0.4,3.6,1.2,1.4,0.8070736830606344,0.6080705200202146,15.0,22.0,2.0,72
8.0,2.0,1.2,4.6,1.0,2.8,0.8070736830606344,0.6080705200202146,19.6,22.0,2.0,73
10.2,1.6,2.0,2.4,1.2,4.4,0.8070736830606344,0.6080705200202146,21.8,22.0,2.0,74
6.2,0.8,1.0,3.0,1.0,5.0,0.8070736830606344,0.6080705200202146,17.0,22.0,2.0,75
5.2,1.0,1.0,4.2,0.2,2.2,0.781248396802046,0.6080705200202146,13.8,22.0,2.0,76
7.8,2.2,1.8,2.8,0.4,4.6,0.6779472517676925,0.6015082713939699,19.6,22.0,2.0,77
7.2,2.2,1.0,4.6,1.2,3.2,0.6779472517676925,0.6191629551267654,19.4,22.0,2.0,78
5.8,1.0,0.0,4.0,1.8,2.2,0.6779472517676925,0.7947776680778615,14.8,21.4,2.6,79
6.6,0.6,0.2,3.4,2.2,2.4,0.6779472517676925,0.7947776680778615,15.4,21.0,3.0,80
6.8,1.4,0.0,3.6,1.6,1.4,0.6779472517676925,0.7947776680778615,14.8,21.0,3.0,81
4.6,1.8,2.4,4.2,2.2,2.2,0.6779472517676925,0.7947776680778615,17.4,21.0,3.0,82
5.0,2.0,1.6,4.2,1.8,3.4,0.7272648097899708,0.8209981493193108,18.0,20.4,3.0,83
0.8,2.0,3.0,1.0,1.6,1.8,0.9245350418790841,0.9258800742851087,10.2,20.0,3.0,84
0.6,1.2,0.6,0.4,0.2,2.0,0.9245350418790841,0.9258800742851087,5.0,20.0,3.0,85
