A,B,C,D,E,F,Apop,Bpop,Total users,Temperature,Conditions,Time index
7.0,3.6666666666666665,0.6666666666666666,5.333333333333333,5.0,2.6666666666666665,0.8480894349756523,0.7639312224802616,24.333333333333332,28.0,2.0,67
7.666666666666667,4.333333333333333,0.6666666666666666,5.333333333333333,4.666666666666667,0.3333333333333333,0.8480894349756523,0.7649582713819484,23.0,28.0,2.0,68
4.666666666666667,4.333333333333333,2.0,7.0,5.0,3.0,0.8570184596895817,0.767012369185322,26.0,28.666666666666668,2.0,69
5.333333333333333,6.0,2.3333333333333335,8.0,3.0,0.3333333333333333,0.8748765091174405,0.767012369185322,25.0,29.0,2.0,70
10.666666666666666,4.0,2.6666666666666665,5.333333333333333,2.3333333333333335,2.3333333333333335,0.8748765091174405,0.767012369185322,27.333333333333332,29.0,2.0,71
11.333333333333334,1.6666666666666667,2.3333333333333335,3.3333333333333335,2.6666666666666665,2.6666666666666665,0.8748765091174405,0.767012369185322,24.0,29.0,2.0,72
9.666666666666666,3.0,1.6666666666666667,5.0,0.3333333333333333,1.6666666666666667,0.8748765091174405,0.7140317527969527,21.333333333333332,29.0,2.0,73
12.333333333333334,3.6666666666666665,2.0,4.333333333333333,1.0,0.6666666666666666,0.8748765091174405,0.6080705200202146,24.0,29.0,2.0,74
9.0,1.6666666666666667,2.0,5.0,3.3333333333333335,1.3333333333333333,0.8853454516695383,0.5971334389764734,22.333333333333332,29.0,2.0,75
13.0,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,0.9062833367737335,0.5752592768889914,20.0,29.0,2.0,76
7.333333333333333,2.3333333333333335,1.3333333333333333,1.3333333333333333,3.3333333333333335,1.0,0.9062833367737335,0.5752592768889914,16.666666666666668,28.333333333333332,2.6666666666666665,77
5.0,3.0,1.6666666666666667,3.3333333333333335,5.666666666666667,0.0,0.9062833367737335,0.5752592768889914,18.666666666666668,28.0,3.0,78
4.333333333333333,3.6666666666666665,1.3333333333333333,3.0,5.666666666666667,0.0,0.9062833367737335,0.5752592768889914,18.0,28.0,3.0,79
7.0,4.0,2.6666666666666665,6.0,3.0,1.0,0.9062833367737335,0.657801260943197,23.666666666666668,28.0,3.0,80
9.333333333333334,3.3333333333333335,3.0,6.333333333333333,3.3333333333333335,1.0,0.9062833367737335,0.8228852290516082,26.333333333333332,27.333333333333332,3.0,81
5.0,1.3333333333333333,3.0,4.666666666666667,2.6666666666666665,1.0,0.9062833367737335,0.8228852290516082,17.666666666666668,27.0,3.0,82
